id,name,SH
6883,깨깨미술교습소,1
1355,꼬 꼬마김밥,1
7018,꼬꼬마루,1
6692,꼬꼬방 집으로 삼겹 용인 1호점,0
6195,꼬꼬방집으로삼겹 용인1호점,1
5650,꼬들목숯불구이,1
1343,꼬르륵,0
8,꼬마피카소미술교습소,1
7748,꼬모드,1
4403,꼬몽스,0
3813,꼬미네일,1
6841,꼬숩다,0
1764,꼬장가(꼬마김밥 장우손부산어묵),0
1562,꼬쟁이,1
5619,꼬치꼬치,1
6836,꼬치의품격 성복데이파크점,0
7406,꼴레뜨,0
3239,꼼지락 작업실,1
2018,꽁꽁냠냠 상현점,1
1006,꽁블떡케익,1
5941,꽃 힐링,0
6296,꽃 힐링,0
950,꽃 힐링,0
7457,꽃가람화원,1
6478,꽃가풍,1
7071,꽃길,1
4376,꽃다 아뜰리에,1
446,꽃다운 한 주,1
3251,꽃모닝,1
23,꽃보다 마카롱,1
5683,꽃보다마카롱,0
6519,꽃블리 용인수지죽전점,1
3870,꽃소,1
4228,꽃집 빈야,1
4753,꽃카페투유,1
6192,꽃피는봄이오면,1
2481,꽃피어라(pioraflower),1
1842,꾸꾸닥,1
4997,꾸떼드미엘(Gouterdumiel),0
4433,꾸러기소아과의원,1
1705,꾸러기유통,1
7141,꾸밈,1
6167,꾸이한끼,0
491,꿀꿀문방구,1
2334,꿀떡곱창죽전점(주),0
5006,꿀레(Couler),1
6145,꿀잼키즈룸 성복점,1
7605,꿈그린미술교습소,1
4115,꿈꾸는 그림책,1
2624,꿈꾸는 매쓰코칭,0
358,꿈꾸는공방,1
1507,"꿈꾸는솜사탕, 용인수지점",0
3833,꿈꾸는수학나무학원,1
6417,꿈꾸는피아노음악교습소,0
6873,꿈꾸는피카소미술교습소,0
3459,꿈나무놀이터어린이집,0
2075,꿈빛그리다,1
3056,꿈에동물병원,1
6288,꿈이자라는치과의원,1
2546,꿈터수학학원,1
4713,꿉(용인상현점),1
479,끌레르,1
896,끌림,1
7418,끌림미장원,1
4412,끌림헤어,1
525,나나스베딩 광교점,1
49,나나스킨케어 왁싱,0
102,나는 꼬마김밥,1
7564,나는 장어,0
1432,나는장어(신봉점),1
6430,나다논술학원,1
218,나도바이올린교습소,0
1641,나래피아노교습소,1
87,나루터철물건재,1
6863,나리미용실,0
,나린 필라테스,0
4251,나무 리무진,1
2366,나무(namoo),0
5316,나무네일샵,1
7326,나무스토어,1
4361,나무약국,1
3689,나무컴퓨터,1
3227,나무한의원,1
815,나무헤어살롱,1
231,나비필라테스(NABI Pila,0
3018,나와바리,1
7134,나우스크린골프,1
7228,나우커피,0
937,나우커피 용인수지점,0
4779,나원 헤어,1
5974,나은약국,1
1604,나음(NAUM)에듀케이션학원,1
7837,나음한의원,1
4031,나의가든,0
851,나의근육사용설명서 신봉점,0
3350,나의수학교습소,1
3520,나의한의원,1
322,나이스가이,1
2844,나이스가이,1
4658,나이스가이 상현역점,1
6894,나이스가이 수지점,1
6250,나이스가이 죽전점,1
6126,나이스버디,1
7502,나이스헤어샵,1
7730,나이스헤어샵,1
3606,나인어클락,1
1448,나인원뷰티,1
6749,나인패치,1
3025,나임아트미술교습소,0
2529,나임아트수지미술교습소,1
5594,나준한의원,0
7076,나쿠펜다,1
6295,나현정발레학원,1
6258,나현희미장,1
5570,낙원구만이갈비집,0
5223,낙원떡집,1
1471,낙지장날,1
1428,날마다 잔칫날이어라,1
4912,남경한의원,0
1544,남규나 탁구클럽,1
1937,남도집밥,1
760,남도흑염소,0
4265,남매양대창,1
5835,남매한우곱창,1
5381,남문떡볶이 동천점,1
5290,남문떡볶이 풍덕천점,0
414,남문떡볶이 풍덕초입마을점,1
1469,남문떡볶이성복점,1
6087,남서울요양보호사교육원,1
4715,남서울인테리어,1
4042,남영동양문 용인수지구청점,0
7351,남영스파랜드 스포츠마사지실,0
7491,남자이야기,1
2078,남자이야기,1
1840,남자피자죽전점,1
6485,남화연무용학원,1
7220,낭낭오리집 수지점,1
2683,낭띠헤어샵,1
219,낭만,1
3380,낭만,1
7499,낭만F&B,1
3472,내가찜한닭,1
4139,내고향닭갈비 닭발,0
4780,내대지238,1
7490,내돼지족발보쌈,1
4222,내복곰과자점,0
7724,내친구 뭉구야,1
3186,낼름족발,0
2420,냉골집,1
2254,냉골집,1
4292,냐옹잉글리쉬영어교습소,0
6640,냥프레드,1
7687,너는 꽃,1
1753,너를 위한 영어학원,1
2283,너싱홈한솔,1
6893,너의작업실미술교습소,1
3171,넘버원 No1 세차장,0
2070,네네치킨,1
4750,네네치킨 신봉점,0
6968,네네치킨수지2호점,0
6388,네네치킨죽전1호점,0
4404,네네치킨풍덕천점,1
5460,네네치킨풍덕천점,1
4815,네모안경,1
7283,네스트,1
