시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부,현대카드_가맹여부_재검토
용인시,U-그린치과의원,(치과/치과),경기도 용인시 수지구 상현동 830번지,16939.0,37.30220233,127.0779083,6899500060,4201,977440056,계속사업자,X,X
용인시,자담치킨,(치킨전문점/치킨전문점),경기도 용인시 수지구 성복동 748-2번지 신봉샤르망1,16848.0,37.31471462,127.0807275,1165400588,2309,905068012,계속사업자,X,O
용인시,라온헤어,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 상현동 30번지,16927.0,37.31454807,127.0923976,1424801076,1602,920813582,계속사업자,X,X
용인시,삼성영어메이플트리신촌영어교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1273번지,16874.0,37.32502684,127.1153216,6769800406,7213,988948329,,X,X
용인시,지에스25 수지나래가점,(편의점/편의점),경기도 용인시 수지구 죽전동 1493번지 LH 청년나래가,16865.0,37.33488336,127.1084079,7754500861,5202,915240700,계속사업자,X,X
용인시,비웰학원,(외국어학원/외국어학원),경기도 용인시 수지구 성복동 740-1번지,16848.0,37.31528264,127.0807694,6839200358,7202,983395211,계속사업자,X,O
용인시,오늘도 미술,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 850번지 만현마을쌍용1차아파트 상가동 3층 301-2호,16930.0,37.307088,127.0855995,6769101503,7213,911045905,,X,X
용인시,라엘음악학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 174-26번지,16825.0,37.34073796,127.0990185,1219165633,7205,919847591,계속사업자,X,X
용인시,아트글로우미술교습소,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 105-3번지 동천자이아파트,16824.0,37.34588402,127.0908735,5039325410,7205,910641852,,X,X
용인시,에프피에스키즈어학원,(외국어학원/외국어학원),경기도 용인시 수지구 동천동 589-10번지,16802.0,37.34208756,127.0676035,7469500887,7202,901266172,계속사업자,X,X
용인시,파인슐레어학원,(외국어학원/외국어학원),경기도 용인시 수지구 죽전동 495-3번지,16872.0,37.32994973,127.11296,2599501683,7202,921349388,계속사업자,X,X
용인시,이레체험센터,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 성복동 520-3,,37.31885191,127.0569469,8498000504,7213,985644897,계속사업자,X,X
용인시,하윤인테리어,(기타건축자재/기타건축자재),경기도 용인시 수지구 죽전동 1188-5번지,16876.0,37.33188953,127.1275682,2963700927,3403,906158283,,X,X
용인시,트리거짐,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 죽전동 1335-2번지,16889.0,37.32424665,127.1249986,1420873837,8310,969772201,,X,X
용인시,드리움플라워,(화원.화초/화원.화초),경기도 용인시 수지구 죽전동 331번지,16873.0,37.3294715,127.118358,1339881765,8110,902312611,계속사업자,X,X
용인시,벤처유통주식회사,(전문스포츠용품점/전문스포츠용품점),경기도 용인시 수지구 용구대로 2779 (죽전동),,,,1358136496,8121,909936759,계속사업자,X,X
용인시,코우더스언어학원,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 1080-13번지,16841.0,37.32202955,127.0950096,6119900032,7213,979912086,계속사업자,X,X
용인시,토이토이토이,(치킨전문점/치킨전문점),경기도 용인시 수지구 상현동 257-1번지,16930.0,37.30849181,127.084926,3933101550,2309,916928493,계속사업자,X,O
용인시,단비 언어 인지 심리연구소,(기타서비스/기타서비스),경기도 용인시 수지구 풍덕천동 1165번지,16842.0,37.3197804,127.0962745,4799201796,9602,914392619,,X,X
용인시,포도로,(주류전문점/주류전문점),경기도 용인시 수지구 죽전동 876-6번지,16867.0,37.33290038,127.1084295,3716100790,2602,921951464,,X,X
용인시,아이스박스 아이스크림할인점 (상,(기타식음료품/기타식음료품),경기도 용인시 수지구 상현동 30 외3필지 수지성원2차아파트 상가동 제1층 103호.,,,,7563600460,2105,996262101,,X,X
용인시,씨유수지이스트팰리스점,(편의점/편의점),경기도 용인시 수지구 동천동 938번지 한빛마을래미안이스트팰리스2단지,16822.0,37.3357563,127.0893819,1462601455,5202,918400186,계속사업자,X,X
용인시,미소야,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1325-6번지,16889.0,37.3234945,127.1237382,1420279222,2301,943698225,계속사업자,X,O
용인시,올리비안화장품,(화장품/화장품),경기도 용인시 수지구 성복동 743-4번지 백야,16848.0,37.31544516,127.0783083,1420343435,1501,946356151,계속사업자,X,X
용인시,P&K영어수학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 죽전동 1188-1번지,16876.0,37.33195808,127.126439,1299138955,7201,941858979,계속사업자,X,X
